Sentence,Artistic Process,Best Selling Books,Blueprints Toolkit,Business Models,Discovery Invention,Expert Advice Recommentations,Governance Structure,Health Regimes,Industry Standards,Lifestyle,Operations Manual,Philosopy Values,Production Method,Regulations,Solutions Playbooks,Strategies,Category_Tag,Filename
"v
v
EXECUTIVE SUMMARY
THE COVID-19 PANDEMIC:
SHOCKS TO EDUCATION 
AND POLICY RESPONSES
MAY 2020
Public Disclosure Authorized Public Disclosure Authorized Public Disclosure Authorized Public Disclosure AuthorizedThe COVID-19 pandemic threatens education progress worldwide 
through two major shocks: (i) the near-universal closing of schools at 
all levels and (ii) the economic recession sparked by pandemic-control 
measures.",0.967352,10.133191,3.752967,1.925566,4.805112,7.194967,4.043344,1.842031,18.848681,0.942407,1.707585,3.841995,1.179747,32.750719,3.780229,2.284107,Regulations,Executive-Summary.pdf
"Without major efforts to counter their impacts, the school-closings 
shock will lead to learning loss, increased dropouts, and higher inequality, and 
the economic shock will exacerbate the damage, by depressing education demand 
and supply as it harms households.",1.558624,20.208071,2.837015,5.018794,3.975498,10.898068,1.396471,8.407655,5.694254,2.424584,1.779381,18.852524,2.857272,5.61958,4.62833,3.843879,Best Selling Books,Executive-Summary.pdf
"Together, they will inflict long-run costs on 
human capital and welfare.",1.525059,8.215025,3.0897,18.737624,5.168667,12.891951,3.157253,4.513221,3.537762,4.590274,0.860365,14.353834,2.464526,8.969973,2.080804,5.843961,Business Models,Executive-Summary.pdf
"But if countries move quickly to support continued learning, they can mitigate 
the damage and even turn recovery into new opportunity.",1.39966,3.025179,3.197839,4.474363,8.051962,24.900893,1.905855,5.281701,5.081263,2.331552,1.072278,13.074919,7.24683,6.307855,3.416853,9.230999,Expert Advice Recommentations,Executive-Summary.pdf
"The policy responses to 
achieve this can be summarized in three overlapping phases: Coping, Managing 
Continuity, and Improving and Accelerating Learning.",1.26205,2.655309,5.509565,3.308607,2.061494,28.279517,4.083069,2.504674,3.841772,4.225863,2.064341,4.833037,3.253349,5.222205,14.391991,12.503156,Expert Advice Recommentations,Executive-Summary.pdf
"In implementing these 
policies, education systems should aim to recover but not replicate the past—given 
that in many countries, the pre-COVID status quo was already characterized 
by too little learning, high levels of inequality, and slow progress.",1.349964,10.923454,2.544595,6.144432,6.946342,12.977603,2.53252,6.430594,9.065503,4.180022,1.250378,15.335862,3.91721,5.865714,4.053232,6.482576,Philosopy Values,Executive-Summary.pdf
"Countries 
now have an opportunity to “build back better”: they can use the most effective 
crisis-recovery strategies as the basis for long-term improvements in areas like 
assessment, pedagogy, technology, financing, and parental involvement.",1.376538,4.030279,4.651236,3.447326,4.824263,28.724433,3.074996,3.347847,5.677511,2.758458,0.96159,12.170105,5.512812,4.245321,6.064323,9.132962,Expert Advice Recommentations,Executive-Summary.pdf
"PHOTO BY: © AISHA FAQUIR/WORLD BANK
2THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES  EXECUTIVE SUMMARYAcknowledgments
This report was produced by a core team that was led by Halsey Rogers and Shwetlena Sabarwal and included 
Ciro Avitabile, Jessica Lee, Koji Miyamoto, Soren Nellemann, and Sergio Venegas Marin, under the overall 
guidance of Jaime Saavedra (Global Director, Education Global Practice).",1.853296,12.34733,5.271508,3.269906,5.851854,12.779542,4.781009,2.124604,14.56156,2.117419,1.73876,3.919198,1.977457,13.994563,10.385376,3.026618,Industry Standards,Executive-Summary.pdf
"Additional inputs were provid -
ed by Hanna Alasuutari, Joao Pedro Azevedo, Kaliope Azzi-Huck, Sajitha Bashir, Roberta Malee Bassett, 
Michael Crawford, Amanda Devercelli, Koen Martijn Geven, Marcela Gutierrez Bernal, Radhika Kapoor, 
Victoria Levin, Julia Liberman, Diego Luna Bazaldua, Laura McDonald, Harry Patrinos, and Tigran Shmis.",2.6291,12.770419,3.846621,3.563962,7.612696,24.475319,1.806143,3.458353,9.546053,2.714722,1.653868,3.632022,3.467636,11.267384,4.345589,3.210114,Expert Advice Recommentations,Executive-Summary.pdf
"The team benefited from comments from Cristian Aedo, Omar Arias, Steve Commins, Deon Filmer, Roberta 
Gatti, Salina Giri, Xiaoyan Liang, Toby Linden, Nadir Mohammed, Innocent Mulindwa, Quynh Nguyen, 
Louise Ruskin, Janssen Teixeira, Lianqin Wang, and other members of the Education Global Practice who 
participated in discussions on the paper.",2.429737,8.587821,2.761868,3.447959,5.76193,23.386162,1.913731,3.054241,16.036384,2.479204,1.707343,5.496554,3.403806,13.142507,2.992234,3.398518,Expert Advice Recommentations,Executive-Summary.pdf
