Sentence,Accommodation Food Services,Agriculture Forestry Fishing,Arts Entertainment Recreation,Economywide,Educational Services,Health Care Social Assistance,Information Finance Insurance,Manufacturing,Mining Quarrying Oil Gas,Public Administration,Real Estate Rental Leasing,Technical Management Services,Transportation Warehousing,Utilities Construction,WholeSale Retail Trade,Category_Tag,Filename
"focus In  transit
Your gateway to International Standards #1434014
32
48ISOfocus November-December 2020 – ISSN 2226-1095
ISOfocus , the magazine of the International Organization for Standardization,  
is published six times a year.",4.901576,8.131942,2.008002,14.974904,4.441479,10.697709,9.94849,5.428553,7.136513,3.563336,1.784885,10.426603,7.437324,3.770153,5.348531,Economywide,ISOfocus_143_en.pdf
"You can discover more content on our Website  
at iso.org/isofocus , or by staying connected with us on :
TWITTER FACEBOOK Youtube Flickr linkedin
Head of Communication | Vanessa Von der Mühll
Editor-in-Chief | Elizabeth Gasiorowski-Denis
Writers | Ann Brady, Rick Gould, Kath Lockett, Clare Naden
Copy editor and Proofreader | Vivienne Rojas
Designers | Xela Damond, Pierre Granier, Alexane Rosa
Translation team | Leïla Esteban, Alexandra Florent
Subscriptions and back issues
If you enjoy ISOfocus , you can download the pdf for free or subscribe to receive  
printed issues through our Website iso.org/isofocus .",5.031605,9.306162,4.743037,7.749745,6.880774,19.670072,8.296356,4.482924,9.969255,3.235023,2.438777,7.215016,3.895131,3.559537,3.526586,Health Care Social Assistance,ISOfocus_143_en.pdf
"You can also contact  
our customer service at customerservice@iso.org .",10.208135,4.742629,2.652297,4.265357,2.637656,10.850959,8.198093,4.608084,4.077558,3.475936,2.3377,29.080846,3.318915,2.322272,7.223562,Technical Management Services,ISOfocus_143_en.pdf
"Contributions
You can participate in creating this magazine.",7.951849,5.754445,13.202395,7.693204,3.642483,15.185561,8.551451,3.330657,5.138797,3.128258,3.380426,13.592273,3.03871,2.977634,3.431858,Health Care Social Assistance,ISOfocus_143_en.pdf
"If you think your contribution  
can add value to any of our sections, please get in touch at isofocus@iso.org .",5.258863,11.747275,3.405369,13.451754,4.02105,13.83206,6.367301,4.40379,11.444388,3.784443,2.584978,9.55418,2.719805,4.077313,3.347431,Health Care Social Assistance,ISOfocus_143_en.pdf
"Views expressed are those of the respective contributors and are not necessarily  
those of ISO or any of its members.",8.632674,8.523801,6.390411,11.936176,3.520524,11.078955,6.733775,5.145998,12.207713,3.165373,3.731486,6.293785,3.072371,6.828622,2.738337,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"© ISO 2020
Published in Switzerland.",5.931856,9.962683,5.150378,17.796247,3.547499,10.410284,7.219297,7.273371,10.597496,2.293082,2.664845,5.463974,4.327222,3.980661,3.381106,Economywide,ISOfocus_143_en.pdf
All rights reserved.,4.346782,10.558573,3.626655,9.196368,2.183313,31.65066,6.644536,3.37601,6.194715,3.316247,4.193204,5.531775,3.557793,2.97049,2.65288,Health Care Social Assistance,ISOfocus_143_en.pdf
Articles in this magazine may be reproduced for non-commercial purposes only.,8.215667,8.727289,8.009521,11.864228,3.630765,11.504592,7.358025,5.171453,10.388273,2.887859,3.20787,7.464761,3.412411,3.780421,4.376865,Economywide,ISOfocus_143_en.pdf
"These may not be modified and must be properly referenced, with due credit  
to ISO being given.",6.10187,10.449595,3.230995,12.694815,3.118847,5.880783,5.211605,11.005598,15.884849,2.355765,3.948406,4.693129,3.94082,8.096346,3.386577,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
