Sentence,Accountants,Artists,Books and Literature,Business Owners,Charitable Trusts and NGOs,Consumer Services,Counselors,Doctors,Estate Agents,Family Offices,Financial Advisors,Franchise Operations,Goods Suppliers,Governments,Hospitals,Independent Consultants,Individuals,Intergovernmental and Regulators,International Institutions,Lawyers,Manufacturers,Multi Nationals,Municipalities and Cities,Online Re-Sellers,Organizations,Parents,Philanthropies and Foundations,Politicians,Private Corporations,Professionals,Public Companies,Regional Governments,Restaurants,Retail Shops,Seniors,Service Vendors,Singles,Sports Persons,Students,Universities,Category_Tag,Filename
"v
v
EXECUTIVE SUMMARY
THE COVID-19 PANDEMIC:
SHOCKS TO EDUCATION 
AND POLICY RESPONSES
MAY 2020
Public Disclosure Authorized Public Disclosure Authorized Public Disclosure Authorized Public Disclosure AuthorizedThe COVID-19 pandemic threatens education progress worldwide 
through two major shocks: (i) the near-universal closing of schools at 
all levels and (ii) the economic recession sparked by pandemic-control 
measures.",1.610152,1.951861,9.356529,0.56043,3.299367,7.687997,2.949492,0.59086,0.293651,0.666445,1.67139,2.145279,0.867683,4.709571,1.882661,1.081407,5.687648,8.989088,3.948536,0.794664,3.648855,1.344038,2.078288,0.784562,5.178406,1.043341,2.573162,2.166273,0.740131,1.670669,2.474144,2.575803,0.601443,0.851985,1.875145,1.815851,0.662556,0.760132,5.233004,1.177503,Books and Literature,Executive-Summary.pdf
"Without major efforts to counter their impacts, the school-closings 
shock will lead to learning loss, increased dropouts, and higher inequality, and 
the economic shock will exacerbate the damage, by depressing education demand 
and supply as it harms households.",1.049039,1.498732,12.796519,0.44971,5.77127,8.146674,2.545609,0.494099,0.310389,1.200957,2.468898,1.611136,0.611869,3.17868,1.933332,0.688626,5.433912,1.563625,3.34507,0.757232,1.84457,0.636646,1.666201,0.875146,7.790582,4.20214,4.909354,1.341715,0.600951,0.784651,1.261345,1.708337,0.515807,0.890566,0.774357,1.581553,0.7034,0.77981,8.945381,2.332112,Books and Literature,Executive-Summary.pdf
"Together, they will inflict long-run costs on 
human capital and welfare.",3.516101,1.530972,5.06877,0.82504,6.048202,4.412213,1.884605,0.620731,1.236851,2.124507,7.743805,2.119599,1.089864,4.297253,1.952933,0.927879,4.762536,4.36586,3.78679,2.81523,2.470292,1.961372,1.722133,1.511717,5.120143,1.36083,5.768406,2.533522,0.604623,1.695625,3.338575,1.662289,0.73871,0.991353,1.526353,1.711691,0.793978,0.760879,1.757967,0.839805,Financial Advisors,Executive-Summary.pdf
"But if countries move quickly to support continued learning, they can mitigate 
the damage and even turn recovery into new opportunity.",0.470377,1.496888,3.109951,0.378511,7.862994,5.78988,1.712644,0.351177,0.271031,0.484134,0.948666,2.834905,0.893219,7.829494,1.536441,0.572311,4.33959,7.295802,6.364531,0.457849,2.38676,2.244981,2.527593,2.699768,4.315922,1.9325,5.485871,1.150993,0.665856,1.319921,1.108922,7.103304,0.635489,0.954786,0.950463,1.361245,0.697214,1.064592,5.353053,1.040372,Charitable Trusts and NGOs,Executive-Summary.pdf
"The policy responses to 
achieve this can be summarized in three overlapping phases: Coping, Managing 
Continuity, and Improving and Accelerating Learning.",1.89665,2.074886,3.007798,0.747751,1.624803,20.176198,5.066184,0.546878,0.483689,1.031474,4.364003,2.849001,0.560035,4.592615,0.878965,1.580674,2.23844,4.488028,0.990154,0.843799,1.901135,0.805869,3.193371,2.158811,3.71721,2.178614,1.329158,3.05087,0.520635,2.999701,0.740575,4.247463,0.720823,0.619709,2.277456,1.85173,1.722428,0.979299,4.46335,0.479768,Consumer Services,Executive-Summary.pdf
"In implementing these 
policies, education systems should aim to recover but not replicate the past—given 
that in many countries, the pre-COVID status quo was already characterized 
by too little learning, high levels of inequality, and slow progress.",0.780841,1.306299,7.220448,0.390766,5.676542,8.431586,1.525461,0.518483,0.302725,0.885636,1.310191,1.538211,0.990148,7.531033,1.800903,0.593642,6.646803,2.599844,3.056933,0.580929,2.243769,0.89817,3.528311,1.189798,7.508555,2.944205,4.111238,1.901298,1.012145,0.965029,2.487415,4.377748,0.56293,0.769502,2.701594,1.436817,0.603037,0.771036,4.437677,1.862304,Consumer Services,Executive-Summary.pdf
"Countries 
now have an opportunity to “build back better”: they can use the most effective 
crisis-recovery strategies as the basis for long-term improvements in areas like 
assessment, pedagogy, technology, financing, and parental involvement.",0.879186,1.95624,3.326036,0.483724,7.037044,7.088828,3.002138,0.525673,0.437192,1.338119,1.749981,2.197443,1.24855,6.792836,1.845128,0.818112,5.47227,4.702561,3.520847,0.47758,3.61885,2.430553,3.013158,2.088611,6.128223,3.003732,6.064854,1.269764,0.712127,1.94377,0.914254,4.567253,1.129225,0.839986,1.035819,1.81705,0.727491,0.719359,2.488918,0.587513,Consumer Services,Executive-Summary.pdf
"PHOTO BY: © AISHA FAQUIR/WORLD BANK
2THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES  EXECUTIVE SUMMARYAcknowledgments
This report was produced by a core team that was led by Halsey Rogers and Shwetlena Sabarwal and included 
Ciro Avitabile, Jessica Lee, Koji Miyamoto, Soren Nellemann, and Sergio Venegas Marin, under the overall 
guidance of Jaime Saavedra (Global Director, Education Global Practice).",1.372924,3.406727,5.794051,1.210285,2.276775,5.832791,6.2229,1.350579,0.438763,0.966763,1.90386,2.312616,1.107708,1.468427,2.026269,1.701174,8.831279,3.359671,2.798996,1.162917,4.031172,1.864169,1.185888,0.81746,7.298,1.582695,1.34379,1.709033,0.627257,4.855705,1.536306,1.330811,0.912833,0.809264,1.536225,4.754899,0.722698,1.4286,5.143551,0.964168,Individuals,Executive-Summary.pdf
"Additional inputs were provid -
ed by Hanna Alasuutari, Joao Pedro Azevedo, Kaliope Azzi-Huck, Sajitha Bashir, Roberta Malee Bassett, 
Michael Crawford, Amanda Devercelli, Koen Martijn Geven, Marcela Gutierrez Bernal, Radhika Kapoor, 
Victoria Levin, Julia Liberman, Diego Luna Bazaldua, Laura McDonald, Harry Patrinos, and Tigran Shmis.",1.469697,5.776598,5.631543,1.015815,1.450488,4.886954,7.00036,1.43996,0.791402,0.839531,2.95332,1.507903,2.130777,1.153045,1.422286,1.380032,15.578626,1.858084,1.869193,1.692621,5.11952,1.566528,0.772947,1.130376,3.494284,1.895153,1.11221,1.720114,0.478375,3.968721,1.499811,0.845402,1.359907,0.929801,1.515707,3.500603,0.877566,3.597657,1.992299,0.774783,Individuals,Executive-Summary.pdf
"The team benefited from comments from Cristian Aedo, Omar Arias, Steve Commins, Deon Filmer, Roberta 
Gatti, Salina Giri, Xiaoyan Liang, Toby Linden, Nadir Mohammed, Innocent Mulindwa, Quynh Nguyen, 
Louise Ruskin, Janssen Teixeira, Lianqin Wang, and other members of the Education Global Practice who 
participated in discussions on the paper.",0.840831,2.626858,3.748839,1.056644,2.978208,4.452136,6.081168,0.915494,0.358654,0.831362,1.371672,1.588728,1.868149,1.593929,1.772729,1.109464,14.584582,2.922043,4.122316,1.494839,5.01755,2.331452,1.003043,1.018318,8.469462,1.689124,1.501917,1.402556,0.676269,3.259177,1.778983,1.178014,0.891302,0.819979,1.603146,3.72587,0.705062,1.599203,4.078943,0.931984,Individuals,Executive-Summary.pdf
"PHOTO BY: © AISHA FAQUIR/WORLD BANK
3EXECUTIVE SUMMARY THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES Executive summary
Even before the COVID-19 pandemic, the world was living a learning crisis.",1.030307,2.380133,18.623915,0.458311,1.622506,5.685892,3.210774,0.762231,0.193106,0.479486,1.066744,1.603652,0.608531,2.496727,1.805542,0.575756,11.677014,4.805122,6.714428,0.489179,2.695922,1.644584,1.019615,0.549778,4.766173,0.824417,1.246355,1.148158,0.438202,1.582101,2.173371,1.376205,0.64544,0.719876,2.898197,1.733504,0.615882,0.949962,5.687417,0.995483,Books and Literature,Executive-Summary.pdf
"Before the 
pandemic, 258 million children and youth of primary- and secondary-school age were out 
of school.1 And low schooling quality meant many who were in school learned too little.",0.571678,1.262994,15.985986,0.377673,4.449195,4.574107,1.725919,0.499194,0.238937,0.985377,0.752795,1.536786,0.795828,3.915559,2.412829,0.455547,11.165983,1.317672,2.685969,0.307212,3.901491,0.527672,2.85586,0.44002,3.947521,5.41353,3.216531,1.451153,0.549854,0.682251,1.880493,2.231676,0.927616,0.694899,2.123255,0.844749,0.789771,0.567133,8.67693,2.260354,Books and Literature,Executive-Summary.pdf
"The 
Learning Poverty rate in low- and middle-income countries was 53 percent—meaning that over 
half of all 10-year-old children couldn’t read and understand a simple age-appropriate story.2 
Even worse, the crisis was not equally distributed:  the most disadvantaged children and youth 
had the worst access to schooling, highest dropout rates, and the largest learning deficits.3 All 
this means that the world was already far off track for meeting the Sustainable Development 
Goal, which commits all nations to ensure that, among other ambitious targets, “all girls and 
boys complete free, equitable and quality primary and secondary education.”",1.017088,1.802483,15.004812,0.491203,5.604745,3.326587,2.001939,0.661049,0.278744,1.032754,1.401477,1.684288,0.522654,4.084496,1.665752,0.717543,10.65814,2.130592,6.236604,0.423111,1.644219,0.815739,1.828194,0.652236,4.738621,4.021899,4.192307,1.472784,0.77566,1.136616,1.367387,2.133023,0.756985,0.779777,2.958253,0.913634,1.137156,0.73321,5.574874,1.621364,Books and Literature,Executive-Summary.pdf
"PHOTO BY: © AISHA FAQUIR/WORLD BANK
4THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES  EXECUTIVE SUMMARYThe COVID-19 pandemic now threatens to make education outcomes even worse.",1.120357,1.620995,12.495565,0.428874,2.781454,6.036044,3.78297,0.905655,0.240531,0.752542,1.522766,1.447278,0.705979,3.220575,3.664533,0.634619,8.329531,4.696816,4.767885,0.650804,2.588708,1.315871,1.561963,0.495059,6.330585,1.531128,1.985917,1.407654,0.449003,1.50874,1.813844,2.193874,0.642912,0.661255,2.076172,2.026155,0.604291,0.837151,8.792705,1.371238,Books and Literature,Executive-Summary.pdf
"The pandemic has 
already had profound impacts on education by closing schools almost everywhere in the planet, in the 
largest simultaneous shock to all education systems in our lifetimes.",0.562649,1.38656,11.975796,0.338935,2.625268,5.713176,1.765062,0.497254,0.179432,0.535392,0.921754,1.678018,0.310776,3.636845,2.864586,0.317307,14.275517,2.145778,4.97132,0.279087,1.698927,1.057493,1.873435,0.449791,4.533718,2.200563,2.088125,0.874128,0.391549,0.946739,1.685584,2.275004,0.566168,0.684524,0.629172,1.094289,0.481915,0.591238,16.24887,2.648256,Students,Executive-Summary.pdf
"The damage will become even more 
severe as the health emergency translates into a deep global recession.",1.587357,2.372365,11.034275,0.451445,3.326874,4.666366,2.610681,2.605629,0.454082,0.813646,2.025901,2.491804,0.688213,5.574619,6.211225,0.674519,8.931989,2.905015,6.064477,0.910805,3.059983,3.300336,1.282031,0.910212,3.45452,1.27322,3.402621,1.56317,0.652806,2.357514,2.10633,2.163535,0.840479,0.772973,0.355269,1.65174,0.478339,1.116081,2.091816,0.765737,Books and Literature,Executive-Summary.pdf
"These costs of crisis are described 
below.",8.091049,1.569341,7.439317,0.428668,2.707549,7.436412,2.902564,0.575502,0.465565,1.066593,5.156131,2.004108,1.012196,2.623302,2.341958,1.333573,2.49363,6.822593,3.625695,1.634202,3.187713,2.013842,1.440681,1.261389,8.092588,0.781397,3.781283,1.532627,0.964383,1.781453,1.618196,1.794131,0.885246,0.794499,0.547441,2.204481,0.694526,0.514408,3.524376,0.855389,Organizations,Executive-Summary.pdf
"But it is possible to counter those shocks, and to turn crisis into opportunity.",1.720968,2.46082,9.965867,0.361526,3.666236,8.130266,4.655232,0.551731,0.41356,0.899084,2.528249,2.285076,0.702312,4.455014,1.634187,1.38483,5.815136,7.223719,3.757,1.084401,2.48066,1.296528,1.430879,2.028381,6.75838,0.788297,4.186018,2.250174,0.562317,2.967526,0.800201,1.719145,0.647895,0.534256,0.479355,2.063513,1.286936,1.001122,2.314258,0.708944,Books and Literature,Executive-Summary.pdf
"The first step is to cope 
successfully with the school closures, by protecting health and safety and doing what they can to prevent 
students' learning loss using remote learning.",0.872777,1.334212,3.378815,1.127661,8.375347,18.23923,3.95275,1.023399,0.47511,0.765529,2.262234,2.523552,0.472344,1.322123,3.723092,1.409504,2.355004,2.257893,1.815704,0.85488,1.59122,0.506236,2.158659,1.156472,3.173941,2.515547,3.72692,1.674775,1.138323,1.409493,0.980648,1.566243,0.722366,0.844213,1.137143,2.713874,0.915264,1.061544,11.412853,1.053104,Consumer Services,Executive-Summary.pdf
"At the same time, countries need to start planning for school 
reopening.",0.390424,0.919482,3.802254,0.483889,3.416642,8.44715,0.699442,0.263007,0.21137,0.730981,0.751057,2.439052,0.520306,10.233515,2.651838,0.300061,4.464274,2.154884,5.368436,0.18803,2.235855,1.541873,7.765821,1.162629,3.923677,3.394723,1.917148,0.793544,0.719893,0.61364,1.576834,7.702758,0.999851,0.851097,0.62153,0.96344,0.653676,0.3499,11.63979,2.136227,Students,Executive-Summary.pdf
"That means preventing dropout, ensuring healthy school conditions, and using new techniques to 
promote rapid learning recovery in key areas once students are back in school.",0.788611,1.398179,2.896313,0.374904,7.064406,14.027331,3.237034,0.58093,0.456601,0.69442,1.575635,2.361579,0.865084,3.542115,3.156801,0.953485,2.972256,1.604146,1.674874,0.725322,2.560178,0.602145,4.095306,2.412851,3.929689,2.111558,4.859878,1.637966,0.841197,1.232016,1.040572,2.276458,0.72445,1.344818,1.510451,2.358044,0.964646,1.68487,11.365311,1.497571,Consumer Services,Executive-Summary.pdf
"As the school system stabilizes, 
countries can use the focus and innovativeness of the recovery period to “build back better.”",0.44542,1.760037,3.464112,0.373772,6.341479,8.545303,1.49342,0.299837,0.224156,0.694366,0.704183,2.619024,1.18756,9.4501,2.070002,0.504124,3.514291,3.093902,4.173756,0.246871,3.982514,1.790838,5.230355,2.431469,5.777097,2.168597,4.658101,1.117009,0.6599,0.819034,1.043662,5.426488,0.972249,1.099887,0.782253,1.29003,0.521934,0.561697,7.414036,1.047137,Governments,Executive-Summary.pdf
"The key:  don’t 
replicate the failures of the pre-COVID systems, but instead build toward improved systems and accelerated 
learning for all students.",0.795222,2.349108,6.040293,0.554754,2.85646,15.797938,2.422339,0.729585,0.232031,0.650664,1.290586,3.223129,1.037357,3.229179,1.977718,0.735613,9.319171,2.239346,2.074402,0.440014,3.724158,0.972808,1.955399,1.03322,6.782356,1.686344,1.700748,1.510818,0.582479,1.571067,1.867063,2.191029,0.679222,0.802917,2.537684,2.456993,0.675673,1.573761,6.724353,0.977001,Consumer Services,Executive-Summary.pdf
"Unprecedented global shocks to education
The twin shocks of school closures and global recession could have long-term costs to education and 
development, if governments do not move quickly to counter them.",1.324799,1.347432,13.858271,0.367655,2.876283,3.589399,1.739684,0.449924,0.314079,1.590505,2.308916,1.657668,0.48274,6.661499,1.827767,0.583201,5.919105,3.356858,6.650785,0.57947,2.04297,2.056728,1.618086,0.752988,4.765217,3.130431,2.742608,1.118011,0.670373,1.191164,1.457798,4.406893,0.520759,0.921301,1.31642,1.056555,0.512738,0.722187,9.708147,1.802584,Books and Literature,Executive-Summary.pdf
