Sentence,Adult,Arts and Entertainment,Autos and Vehicles,Beauty and Fitness,Business and Industrial,Computers and Electronics,Finance,Food and Drink,Games,Health,Hobbies and Leisure,Home and Garden,Internet and Telecom,Jobs and Education,Law and Government,News,Online Communities,People and Society,Pets and Animals,Real Estate,Reference,Science,Sensitive Subjects,Shopping,Sports,Travel,Category_Tag,Filename
"v
v
EXECUTIVE SUMMARY
THE COVID-19 PANDEMIC:
SHOCKS TO EDUCATION 
AND POLICY RESPONSES
MAY 2020
Public Disclosure Authorized Public Disclosure Authorized Public Disclosure Authorized Public Disclosure AuthorizedThe COVID-19 pandemic threatens education progress worldwide 
through two major shocks: (i) the near-universal closing of schools at 
all levels and (ii) the economic recession sparked by pandemic-control 
measures.",8.666727,4.97896,1.458412,2.159386,5.122683,3.071911,3.238375,2.288178,1.52278,7.817709,1.096268,1.577558,0.654402,2.484995,3.208301,24.198929,1.217864,5.54459,1.064367,0.868131,2.212,3.022281,10.704284,0.50835,0.742897,0.569661,News,Executive-Summary.pdf
"Without major efforts to counter their impacts, the school-closings 
shock will lead to learning loss, increased dropouts, and higher inequality, and 
the economic shock will exacerbate the damage, by depressing education demand 
and supply as it harms households.",3.916583,3.47994,1.188218,2.048867,3.282683,2.277664,4.228805,2.24776,1.466149,7.512596,1.044189,0.978169,0.657067,3.068592,1.240567,24.316461,0.805906,3.814201,1.63491,0.623903,1.0015,3.926049,23.259875,1.035441,0.526697,0.417211,News,Executive-Summary.pdf
"Together, they will inflict long-run costs on 
human capital and welfare.",3.113864,3.120939,0.965677,1.122397,6.385,1.173056,28.419233,1.53117,1.476947,5.667829,1.448317,0.723217,0.99339,1.4924,1.546849,7.959551,0.610267,5.398227,1.477475,1.671732,1.587459,4.924548,13.5517,1.534061,0.788848,1.315849,Finance,Executive-Summary.pdf
"But if countries move quickly to support continued learning, they can mitigate 
the damage and even turn recovery into new opportunity.",3.516418,3.48997,1.420963,2.82349,3.223791,4.2051,2.040762,2.174534,1.291038,10.776281,1.678816,0.798056,0.901711,3.242548,2.048198,22.683065,2.511016,7.815291,2.828539,0.800384,0.890897,3.639891,11.160375,0.951495,1.435841,1.651528,News,Executive-Summary.pdf
"The policy responses to 
achieve this can be summarized in three overlapping phases: Coping, Managing 
Continuity, and Improving and Accelerating Learning.",13.813248,1.879367,2.073411,5.528954,2.810474,3.497155,2.218866,1.894756,1.20508,9.413787,5.879587,1.330234,0.509565,9.840225,1.730482,10.953015,2.711896,5.275033,1.449424,1.15439,1.567306,3.492894,7.304553,0.54536,0.644767,1.276171,Adult,Executive-Summary.pdf
"In implementing these 
policies, education systems should aim to recover but not replicate the past—given 
that in many countries, the pre-COVID status quo was already characterized 
by too little learning, high levels of inequality, and slow progress.",5.826601,3.662434,1.25697,2.072034,4.222464,3.676743,4.238942,1.958572,1.965629,8.873586,1.043586,0.981989,1.118322,3.856985,3.376334,15.363917,1.079192,8.038133,2.109984,0.697413,1.637423,6.655505,13.498572,0.788078,1.077622,0.922971,News,Executive-Summary.pdf
"Countries 
now have an opportunity to “build back better”: they can use the most effective 
crisis-recovery strategies as the basis for long-term improvements in areas like 
assessment, pedagogy, technology, financing, and parental involvement.",4.075944,2.67059,1.727484,2.442363,3.675038,3.645091,1.560363,2.815635,0.970079,8.869151,1.588011,1.552024,0.736211,3.300643,1.161166,27.889315,2.193724,7.67276,1.302141,0.928804,0.881031,2.739757,12.350479,0.89199,1.104977,1.255227,News,Executive-Summary.pdf
"PHOTO BY: © AISHA FAQUIR/WORLD BANK
2THE COVID-19 PANDEMIC:  SHOCKS TO EDUCATION AND POLICY RESPONSES  EXECUTIVE SUMMARYAcknowledgments
This report was produced by a core team that was led by Halsey Rogers and Shwetlena Sabarwal and included 
Ciro Avitabile, Jessica Lee, Koji Miyamoto, Soren Nellemann, and Sergio Venegas Marin, under the overall 
guidance of Jaime Saavedra (Global Director, Education Global Practice).",8.727427,4.383873,1.77425,5.780679,3.998983,5.265384,1.022308,2.565735,1.122907,6.068824,1.72507,1.605283,0.830994,8.849232,2.180094,14.468053,2.30215,11.093087,2.584027,0.66587,2.679126,4.490033,3.505297,0.527487,1.050958,0.732869,News,Executive-Summary.pdf
"Additional inputs were provid -
ed by Hanna Alasuutari, Joao Pedro Azevedo, Kaliope Azzi-Huck, Sajitha Bashir, Roberta Malee Bassett, 
Michael Crawford, Amanda Devercelli, Koen Martijn Geven, Marcela Gutierrez Bernal, Radhika Kapoor, 
Victoria Levin, Julia Liberman, Diego Luna Bazaldua, Laura McDonald, Harry Patrinos, and Tigran Shmis.",7.530867,6.268305,2.03714,7.713482,3.062994,6.164674,1.170058,2.770562,1.7913,7.689691,2.937441,1.892602,0.753875,5.17344,1.28482,12.439009,1.566609,10.100953,2.775243,0.800439,1.743602,4.995484,2.957852,1.031525,2.150054,1.197978,News,Executive-Summary.pdf
"The team benefited from comments from Cristian Aedo, Omar Arias, Steve Commins, Deon Filmer, Roberta 
Gatti, Salina Giri, Xiaoyan Liang, Toby Linden, Nadir Mohammed, Innocent Mulindwa, Quynh Nguyen, 
Louise Ruskin, Janssen Teixeira, Lianqin Wang, and other members of the Education Global Practice who 
participated in discussions on the paper.",6.368406,4.178472,1.560552,4.293585,4.736794,5.954339,1.276535,2.443155,1.264608,6.836766,1.913661,1.074692,1.290259,7.134728,2.208597,14.971308,2.376742,13.357741,2.750563,0.670474,2.446062,3.310822,4.198034,0.816345,1.480235,1.086525,News,Executive-Summary.pdf
